stname,Date,Time,utc_timestamp
HSH,2008-07-01,00:12:57.640000,1214871177.64
HSH,2008-07-01,00:13:03.100000,1214871183.1
HSH,2008-07-01,00:29:47.360000,1214872187.36
HSH,2008-07-01,00:34:34.950000,1214872474.95
HSH,2008-07-01,01:47:24.390000,1214876844.39
HSH,2008-07-01,01:51:33.270000,1214877093.2700002
HSH,2008-07-01,01:55:14.930000,1214877314.9299998
HSH,2008-07-01,02:30:58.770000,1214879458.77
HSH,2008-07-01,02:31:50.660000,1214879510.66
HSH,2008-07-01,02:48:44.940000,1214880524.94
HSH,2008-07-01,02:49:43.500000,1214880583.5
HSH,2008-07-01,03:45:37.680000,1214883937.68
HSH,2008-07-01,03:51:18.510000,1214884278.5100002
HSH,2008-07-01,04:21:22.680000,1214886082.68
HSH,2008-07-01,04:45:30.640000,1214887530.64
HSH,2008-07-01,04:45:43.630000,1214887543.63
HSH,2008-07-01,04:46:55.600000,1214887615.6
HSH,2008-07-01,04:49:32.420000,1214887772.42
HSH,2008-07-01,04:50:06.480000,1214887806.48
HSH,2008-07-01,04:50:49.860000,1214887849.86
HSH,2008-07-01,05:30:55.940000,1214890255.94
HSH,2008-07-01,05:40:02.990000,1214890802.99
HSH,2008-07-01,05:41:23.700000,1214890883.7
HSH,2008-07-01,05:41:44.630000,1214890904.63
HSH,2008-07-01,05:55:51.770000,1214891751.77
HSH,2008-07-01,06:03:47.690000,1214892227.6899998
HSH,2008-07-01,06:06:18.900000,1214892378.9
HSH,2008-07-01,06:08:31.740000,1214892511.74
HSH,2008-07-01,06:43:45.650000,1214894625.6499999
HSH,2008-07-01,06:44:14.600000,1214894654.6
HSH,2008-07-01,07:40:16.860000,1214898016.86
HSH,2008-07-01,07:40:52.640000,1214898052.64
HSH,2008-07-01,07:41:07.040000,1214898067.04
HSH,2008-07-01,07:44:22.810000,1214898262.81
HSH,2008-07-01,09:24:41.260000,1214904281.26
HSH,2008-07-01,09:25:29.470000,1214904329.47
HSH,2008-07-01,09:57:05.380000,1214906225.38
HSH,2008-07-01,10:31:05.930000,1214908265.9299998
HSH,2008-07-01,11:37:14.540000,1214912234.54
HSH,2008-07-01,11:39:46.710000,1214912386.71
HSH,2008-07-01,12:07:23.600000,1214914043.6
HSH,2008-07-01,12:07:34.260000,1214914054.26
HSH,2008-07-01,12:39:56.530000,1214915996.53
HSH,2008-07-01,12:58:33.150000,1214917113.15
HSH,2008-07-01,12:58:55.330000,1214917135.33
HSH,2008-07-01,13:00:18,1214917218.0
HSH,2008-07-01,13:07:37.380000,1214917657.38
HSH,2008-07-01,13:09:59.110000,1214917799.1100001
HSH,2008-07-01,13:11:09.480000,1214917869.48
HSH,2008-07-01,13:15:23.430000,1214918123.43
HSH,2008-07-01,13:16:02.330000,1214918162.33
HSH,2008-07-01,13:37:09.570000,1214919429.57
HSH,2008-07-01,13:38:44.090000,1214919524.09
HSH,2008-07-01,13:40:34.890000,1214919634.8899999
HSH,2008-07-01,13:40:45.830000,1214919645.8300002
HSH,2008-07-01,13:41:51.130000,1214919711.1299999
HSH,2008-07-01,13:42:01.910000,1214919721.91
HSH,2008-07-01,15:11:20.770000,1214925080.77
HSH,2008-07-01,15:13:25.020000,1214925205.02
HSH,2008-07-01,15:17:38.900000,1214925458.9
HSH,2008-07-01,15:31:09.310000,1214926269.3100002
HSH,2008-07-01,15:43:12.600000,1214926992.6
HSH,2008-07-01,15:47:13.240000,1214927233.24
